name;lat;lon
Медиацентр телекомпании НТВ;55.8176577;37.6187421
Межрайонный отдел лицензионно-разрешительной работы УВД;55.731361500000006;37.58028319999999
Метеорологическая обсерватория МГУ;55.7069835;37.5219341
Министерство Российской Федерации по развитию Дальнего Востока и Арктики;55.745785100000006;37.67234609999999
Министерство здравоохранения Российской Федерации;55.76821449999999;37.6308245
Министерство культуры РФ;55.7623571;37.6054451
Министерство образования и науки России;55.7602499;37.6091118
Министерство природных ресурсов и экологии Российской Федерации;55.76184369999999;37.5800005
Министерство транспорта Российской Федерации;55.759838;37.6230807
Миусский телефонный узел;55.7597393;37.5713295
Многофункциональный центр предоставления государственных и муниципальных услуг района Отрадное;55.8625416;37.589859999999994
Морозовская Детская Городская Клиническая Больница;55.741076099999994;37.602074
Мосводоканал;55.6819755;37.7503904
Мосводоканал, Производственно-Эксплуатационное управление Канализационной Сети;55.6061545;37.508898599999995
Мосводосток;55.7438227;37.531852
Мосгоргеотрест;55.863373900000006;37.48331939999999
Мосгоризбирком;55.7565086;37.6119528
Мосгорстат;55.75548080000001;37.6472382
Московская биржа;55.7553367;37.6063919
Московская городская военная прокуратура;55.78134789999999;37.538692399999995
Московская дирекция по управлению терминально-складским комплексом;55.7468619;37.690057599999996
Московская дирекция по энергообеспечению;55.78420439999999;37.6434347
Московский Радиозавод;55.7374915;37.63546629999999
Московский кредитный банк;55.7681521;37.6327154
Московский почтамт;55.76398559999999;37.6371544
"Московское бюро информационного агенства ""Синьхуа""";55.7361667;37.68054639999999
Московское территориальное управление Октябрьской железной дороги;55.7833697;37.6525465
Моссахар;55.68051229999999;37.4346365
Мосэнергострой;55.71357319999999;37.6171992
"НИИ ""Аэропроект""";55.81560100000001;37.498954
НИИ Автоматической аппаратуры им. академика В.С. Семинихина;55.6595311;37.541207699999994
НИИ нормальной физиологии им. П. К. Анохина;55.755953;37.6102817
"НИИ эпидемиологии и микробиологии им. Г.Н. Габричевского """;55.8374871;37.48942389999999
НИиПИ градостроительства;55.784908;37.6317445
НПК Герметика;55.8170817;37.7545857
НПП САПФИР;55.783323800000005;37.7343255
Научно-исследовательский и проектно-конструкторский институт информатизации, автоматизации и связи на железнодорожном транспорте;55.7372668;37.69569119999999
Научное издательство «Большая Российская энциклопедия»;55.756977299999996;37.6469309
Национальный НИИ общественного здоровья им. Н.А. Семашко;55.753345;37.6526436
Никитская;55.7549098;37.607123
Новый корпус МИД России;55.74474129999999;37.585749799999995
"ОАО ""МОЭК"" филиал № 7 ""Юго-Западный""";55.6568211;37.595878
"ОАО ""Оборонэнерго"", филиал ""Центральный""";55.80937529999999;37.69037899999999
ОАО «Радиофизика»;55.857887299999994;37.436626
ОВД ВАО;55.7970908;37.7889905
ОКО (Кристалл);55.749767299999995;37.5338752
ОКО-II;55.7504871;37.536383099999995
ОМВД России по Тимирязевскому району г. Москвы;55.84367259999999;37.5737601
"ООО ""СпецДорПроект""";55.734805200000004;37.5475959
ОУФМС района Соколиная Гора;55.766687000000005;37.7270156
"ОЦ ""Synergy development""";55.77622869999999;37.62723140000001
"ОЦ ""Технопарк"" к. 1";55.684207799999996;37.34277889999999
"ОЦ ""Технопарк"" к. 2";55.6844504;37.34167109999999
"ОЦ ""Технопарк"" к. 3";55.684694799999995;37.3405636
"ОЦ ""Технопарк"" к. 4";55.68493159999999;37.339462299999994
Общественная палата Российской Федерации;55.7788185;37.59300360000001
Олимп Клиник Марс;55.78205740000001;37.5835353
Олимпийский комитет России;55.7143992;37.5672499
Ордена Ленина трест «Мосстрой-4»;55.70617589999999;37.527360099999996
Особняк А. К. Ферстер — Михельсона;55.758854299999996;37.590317899999995
Особняк Абрикосовых;55.7372973;37.5956113
Отдел ФСБ по СВАО;55.7890443;37.6141798
Отдел социальной защиты населения района Арбат;55.75564020000001;37.58626329999999
Отдел флоры;55.7067036;37.527415
Отделение МО ГИБДД ТНРЭР № 5 ГУ МВД России по г. Москве;55.565504499999996;37.56157199999999
Отделение связи №117216;55.5668936;37.571013
Отделение связи №117628;55.5737079;37.5666005
Офис продаж;55.539561;37.454871
"Офис продаж ЖК ""Легендарный квартал""";55.84809169999999;37.6241399
Офисный центр;55.7958302;37.7321017
Офисный центр «Ян-Рон»;55.770066599999986;37.627229899999996
Очаково;55.673669499999995;37.440821
"ПАО ""МАК Вымпел""";55.85804290000001;37.4334758
ПАО «НК «Роснефть»;55.74740810000001;37.6201168
ПАО «Новатэк»;55.67289649999999;37.5206578
ПАО НК «РуссНефть»;55.7318326;37.62745329999999
Павильон;55.7636085;37.6613787
Палаты Троекуровых;55.7584813;37.6157019
Палаты тверского подворья;55.762645199999994;37.6249015
