atm_id;bank;lat;lon
346;Sber;55.8793493;37.5472768
347;Sber;55.7450954;37.6688535
348;Sber;55.8735756;37.6653649
349;Sber;55.7542381;37.6573288
350;Sber;55.7091858;37.5941641
351;Sber;55.7230526;37.3970172
352;Sber;55.8657252;37.5983894
353;Sber;55.7587349;37.6177818
354;Sber;55.8630183;37.6040138
355;Alfa-Bank;55.8897248;37.538412
356;Sber;55.6563367;37.6480114
357;Alfa-Bank;55.8690689;37.6633389
358;Sber;55.8694257;37.6629181
359;Alfa-Bank;55.6178451;37.5056213
360;Sber;55.4906773;37.2966141
361;Sber;55.6514807;37.4900696
362;Alfa-Bank;55.6115738;37.6085253
363;Sber;55.6125876;37.607278
364;Sber;55.7478317;37.7051076
365;Alfa-Bank;55.7480608;37.7048642
366;Sber;55.8891179;37.5410271
367;Sber;55.8950391;37.5300922
368;Sber;55.7100507;37.6202068
369;Alfa-Bank;55.7101078;37.6209598
370;Alfa-Bank;55.730388;37.734134
371;Sber;55.7334716;37.5753608
372;Sber;55.7796746;37.63365
373;Sber;55.6957258;37.6257923
374;Alfa-Bank;55.678947;37.7764651
375;Sber;55.6949983;37.5315927
376;Alfa-Bank;55.6922938;37.5284882
377;Sber;55.6923022;37.5282166
378;Alfa-Bank;55.6922951;37.5281963
379;Sber;55.8562277;37.6533787
380;Alfa-Bank;55.8880039;37.662415
381;Sber;55.8880065;37.6624884
382;Sber;55.4756397;37.3069543
383;Sber;55.4771115;37.2989861
384;Sber;55.6349228;37.6572201
385;Sber;55.7045828;37.5129569
386;Sber;55.6975107;37.5002325
387;Sber;55.7884373;37.7480717
388;Sber;55.6505277;37.7691453
389;Alfa-Bank;55.6494327;37.7712356
390;Sber;55.7567628;37.6607527
391;Alfa-Bank;55.7569426;37.6606585
392;Sber;55.7578359;37.6602893
393;Sber;55.6277214;37.6107795
394;Sber;55.7121844;37.8950667
395;Sber;55.6972093;37.6255882
396;Sber;55.7876909;37.5113713
397;Sber;55.7122556;37.8952312
398;Sber;55.7399957;37.6300719
399;Sber;55.7735989;37.5449257
400;Sber;55.5374001;37.5128044
401;Sber;55.4748206;37.2963872
402;Sber;55.6463419;37.4778288
403;Sber;55.7126577;37.5894398
404;Alfa-Bank;55.8630886;37.6020489
405;Sber;55.7945742;37.6083668
406;Sber;55.8010251;37.5854803
407;Sber;55.8015848;37.5317808
408;Sber;55.7932674;37.8130491
409;Alfa-Bank;55.7768491;37.5814039
410;Sber;55.7769194;37.5814528
411;Sber;55.8349273;37.4085971
412;Sber;55.8402925;37.4907106
413;Sber;55.8004585;37.5436463
414;Alfa-Bank;55.8052062;37.5164827
415;Sber;55.6964794;37.5382316
416;Sber;55.6455988;37.5433449
417;Sber;55.6757363;37.5061387
418;Sber;55.6757257;37.5061226
419;Sber;55.6779413;37.5077078
420;Alfa-Bank;55.6779247;37.5076675
421;Sber;55.7023304;37.5723114
422;Sber;55.8011937;37.5555892
423;Sber;55.653664;37.6208127
424;Sber;55.760457;37.5673352
425;Sber;55.8604469;37.6027821
426;Sber;55.6137684;37.4940322
427;Sber;55.8886902;37.64297
428;Sber;55.7995005;37.5050191
429;Sber;55.8697964;37.631194
430;Sber;55.7002157;37.5291141
431;Sber;55.6195364;37.5085156
432;Alfa-Bank;55.619153;37.5092232
433;Sber;55.6362576;37.5115527
